Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1944-01-01 - 2025-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Monatsmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1949-12-01 00:00:00;1949-12-17 12:00:00;0.900;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-01-01 00:00:00;1950-01-01 12:00:00;0.310;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-02-01 00:00:00;1950-02-10 12:00:00;0.350;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-03-01 00:00:00;1950-03-09 12:00:00;0.330;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-04-01 00:00:00;1950-04-30 12:00:00;1.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-05-01 00:00:00;1950-05-22 12:00:00;7.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-06-01 00:00:00;1950-06-14 12:00:00;9.900;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-07-01 00:00:00;1950-07-26 12:00:00;22.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-08-01 00:00:00;1950-08-02 12:00:00;17.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-09-01 00:00:00;1950-09-15 12:00:00;14.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-10-01 00:00:00;1950-10-01 12:00:00;1.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-11-01 00:00:00;1950-11-17 12:00:00;5.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1950-12-01 00:00:00;1950-12-03 12:00:00;1.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-01-01 00:00:00;1951-01-01 12:00:00;0.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-02-01 00:00:00;1951-02-25 12:00:00;0.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-03-01 00:00:00;1951-03-18 12:00:00;1.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-04-01 00:00:00;1951-04-25 12:00:00;2.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-05-01 00:00:00;1951-05-26 12:00:00;5.700;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-06-01 00:00:00;1951-06-19 12:00:00;11.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-07-01 00:00:00;1951-07-08 12:00:00;14.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1951-08-01 00:00:00;1951-08-31 12:00:00;9.100;Freigegeben, validierte Daten
