;DOY;original;one-hour;four-hour;half-daily;daily;three-daily
;171.8403;-0.7600;-0.7484;-0.7343;-0.3835;0.0058;-0.1412
;171.8472;-0.7290;-0.7190;-0.7077;-0.3732;0.0063;-0.1429
;171.8542;-0.6920;-0.6848;-0.6793;-0.3623;0.0068;-0.1445
;171.8611;-0.6410;-0.6494;-0.6453;-0.3508;0.0074;-0.1460
;171.8681;-0.6020;-0.6138;-0.6083;-0.3388;0.0081;-0.1475
;171.8750;-0.5830;-0.5872;-0.5677;-0.3262;0.0088;-0.1489
;171.8819;-0.5510;-0.5648;-0.5252;-0.3131;0.0096;-0.1502
;171.8889;-0.5590;-0.5456;-0.4805;-0.2994;0.0105;-0.1515
;171.8958;-0.5290;-0.5246;-0.4348;-0.2851;0.0115;-0.1528
;171.9028;-0.5060;-0.4996;-0.3893;-0.2703;0.0125;-0.1540
;171.9097;-0.4780;-0.4624;-0.3429;-0.2550;0.0136;-0.1551
;171.9167;-0.4260;-0.4146;-0.2970;-0.2392;0.0148;-0.1562
;171.9236;-0.3730;-0.3566;-0.2506;-0.2229;0.0160;-0.1573
;171.9306;-0.2900;-0.2854;-0.2044;-0.2062;0.0174;-0.1583
;171.9375;-0.2160;-0.2114;-0.1594;-0.1891;0.0188;-0.1593
;171.9444;-0.1220;-0.1312;-0.1165;-0.1716;0.0202;-0.1602
;171.9514;-0.0560;-0.0568;-0.0763;-0.1538;0.0218;-0.1611
;171.9583;0.0280;0.0176;-0.0382;-0.1357;0.0235;-0.1619
;171.9653;0.0820;0.0898;0.0001;-0.1173;0.0252;-0.1627
;171.9722;0.1560;0.1546;0.0364;-0.0986;0.0271;-0.1635
;171.9792;0.2390;0.2146;0.0734;-0.0798;0.0292;-0.1642
;171.9861;0.2680;0.2700;0.1094;-0.0607;0.0314;-0.1649
;171.9931;0.3280;0.3164;0.1448;-0.0416;0.0337;-0.1655
;172.0000;0.3590;0.3476;0.1797;-0.0223;0.0363;-0.1661
;172.0069;0.3880;0.3730;0.2122;-0.0030;0.0391;-0.1667
;172.0139;0.3950;0.3836;0.2439;0.0164;0.0421;-0.1672
;172.0208;0.3950;0.3848;0.2730;0.0358;0.0454;-0.1677
;172.0278;0.3810;0.3774;0.2992;0.0553;0.0488;-0.1682
;172.0347;0.3650;0.3730;0.3232;0.0747;0.0525;-0.1686
;172.0417;0.3510;0.3654;0.3442;0.0942;0.0565;-0.1690
;172.0486;0.3730;0.3622;0.3632;0.1136;0.0606;-0.1694
;172.0556;0.3570;0.3636;0.3799;0.1329;0.0650;-0.1697
;172.0625;0.3650;0.3694;0.3938;0.1523;0.0696;-0.1701
;172.0694;0.3720;0.3736;0.4054;0.1715;0.0743;-0.1704
;172.0764;0.3800;0.3796;0.4164;0.1906;0.0791;-0.1706
;172.0833;0.3940;0.3902;0.4244;0.2096;0.0841;-0.1709
;172.0903;0.3870;0.4034;0.4317;0.2284;0.0893;-0.1711
;172.0972;0.4180;0.4154;0.4382;0.2469;0.0945;-0.1713
;172.1042;0.4380;0.4320;0.4435;0.2652;0.0999;-0.1714
;172.1111;0.4400;0.4482;0.4488;0.2831;0.1053;-0.1715
;172.1181;0.4770;0.4656;0.4550;0.3007;0.1108;-0.1716
;172.1250;0.4680;0.4776;0.4600;0.3178;0.1162;-0.1716
;172.1319;0.5050;0.4906;0.4659;0.3344;0.1216;-0.1716
;172.1389;0.4980;0.5008;0.4717;0.3504;0.1270;-0.1715
;172.1458;0.5050;0.5158;0.4770;0.3659;0.1324;-0.1714
;172.1528;0.5280;0.5204;0.4826;0.3807;0.1376;-0.1713
;172.1597;0.5430;0.5290;0.4876;0.3950;0.1428;-0.1711
;172.1667;0.5280;0.5382;0.4926;0.4086;0.1478;-0.1709
;172.1736;0.5410;0.5382;0.4979;0.4216;0.1528;-0.1706
;172.1806;0.5510;0.5352;0.5037;0.4339;0.1576;-0.1703
;172.1875;0.5280;0.5364;0.5084;0.4457;0.1622;-0.1699
;172.1944;0.5280;0.5264;0.5137;0.4568;0.1668;-0.1695
;172.2014;0.5340;0.5158;0.5192;0.4673;0.1712;-0.1691
;172.2083;0.4910;0.5140;0.5230;0.4773;0.1755;-0.1686
;172.2153;0.4980;0.5060;0.5276;0.4867;0.1796;-0.1681
;172.2222;0.5190;0.5004;0.5312;0.4956;0.1836;-0.1675
;172.2292;0.4880;0.5016;0.5349;0.5039;0.1875;-0.1669
;172.2361;0.5060;0.5028;0.5387;0.5117;0.1912;-0.1662
;172.2431;0.4970;0.5046;0.5407;0.5189;0.1947;-0.1655
;172.2500;0.5040;0.5134;0.5427;0.5256;0.1980;-0.1648
;172.2569;0.5280;0.5192;0.5454;0.5317;0.2011;-0.1640
;172.2639;0.5320;0.5340;0.5483;0.5373;0.2041;-0.1632
;172.2708;0.5350;0.5486;0.5506;0.5423;0.2069;-0.1624
;172.2778;0.5710;0.5572;0.5549;0.5467;0.2094;-0.1615
;172.2847;0.5770;0.5678;0.5591;0.5507;0.2117;-0.1606
;172.2917;0.5710;0.5794;0.5644;0.5542;0.2138;-0.1597
;172.2986;0.5850;0.5834;0.5710;0.5572;0.2156;-0.1588
;172.3056;0.5930;0.5882;0.5786;0.5598;0.2173;-0.1579
;172.3125;0.5910;0.5894;0.5850;0.5619;0.2187;-0.1569
;172.3194;0.6010;0.5910;0.5924;0.5637;0.2198;-0.1559
;172.3264;0.5770;0.5918;0.5992;0.5651;0.2207;-0.1550
;172.3333;0.5930;0.5962;0.6068;0.5661;0.2214;-0.1540
;172.3403;0.5970;0.5974;0.6138;0.5668;0.2217;-0.1531
;172.3472;0.6130;0.6092;0.6201;0.5670;0.2218;-0.1521
;172.3542;0.6070;0.6174;0.6259;0.5668;0.2215;-0.1512
;172.3611;0.6360;0.6312;0.6316;0.5662;0.2208;-0.1503
;172.3681;0.6340;0.6400;0.6362;0.5650;0.2196;-0.1493
;172.3750;0.6660;0.6562;0.6403;0.5633;0.2180;-0.1484
;172.3819;0.6570;0.6648;0.6433;0.5611;0.2157;-0.1475
;172.3889;0.6880;0.6722;0.6467;0.5581;0.2130;-0.1466
;172.3958;0.6790;0.6746;0.6476;0.5546;0.2096;-0.1458
;172.4028;0.6710;0.6806;0.6488;0.5503;0.2057;-0.1449
;172.4097;0.6780;0.6786;0.6492;0.5453;0.2012;-0.1440
;172.4167;0.6870;0.6798;0.6502;0.5396;0.1961;-0.1431
;172.4236;0.6780;0.6812;0.6509;0.5331;0.1903;-0.1423
;172.4306;0.6850;0.6812;0.6524;0.5261;0.1840;-0.1414
;172.4375;0.6780;0.6810;0.6525;0.5183;0.1770;-0.1406
;172.4444;0.6780;0.6810;0.6526;0.5099;0.1695;-0.1397
;172.4514;0.6860;0.6734;0.6522;0.5009;0.1613;-0.1389
;172.4583;0.6780;0.6718;0.6518;0.4914;0.1527;-0.1381
;172.4653;0.6470;0.6590;0.6492;0.4813;0.1436;-0.1372
;172.4722;0.6700;0.6464;0.6473;0.4706;0.1340;-0.1364
;172.4792;0.6140;0.6328;0.6441;0.4595;0.1239;-0.1356
;172.4861;0.6230;0.6240;0.6402;0.4478;0.1135;-0.1349
;172.4931;0.6100;0.6120;0.6368;0.4357;0.1026;-0.1341
;172.5000;0.6030;0.6162;0.6321;0.4231;0.0913;-0.1333
;172.5069;0.6100;0.6146;0.6259;0.4100;0.0796;-0.1326
;172.5139;0.6350;0.6146;0.6187;0.3965;0.0676;-0.1318
;172.5208;0.6150;0.6188;0.6098;0.3826;0.0553;-0.1311
;172.5278;0.6100;0.6216;0.5996;0.3682;0.0427;-0.1304
;172.5347;0.6240;0.6150;0.5889;0.3534;0.0298;-0.1297
;172.5417;0.6240;0.6140;0.5770;0.3382;0.0168;-0.1290
;172.5486;0.6020;0.6136;0.5637;0.3226;0.0036;-0.1283
;172.5556;0.6100;0.6048;0.5516;0.3065;-0.0096;-0.1276
;172.5625;0.6080;0.5976;0.5376;0.2901;-0.0230;-0.1270
;172.5694;0.5800;0.5890;0.5236;0.2732;-0.0363;-0.1263
;172.5764;0.5880;0.5734;0.5080;0.2560;-0.0497;-0.1257
;172.5833;0.5590;0.5514;0.4907;0.2385;-0.0631;-0.1250
;172.5903;0.5320;0.5282;0.4705;0.2205;-0.0764;-0.1244
;172.5972;0.4980;0.4952;0.4494;0.2021;-0.0896;-0.1238
;172.6042;0.4640;0.4654;0.4240;0.1833;-0.1028;-0.1232
;172.6111;0.4230;0.4368;0.3961;0.1640;-0.1157;-0.1226
;172.6181;0.4100;0.4060;0.3660;0.1442;-0.1285;-0.1220
;172.6250;0.3890;0.3820;0.3322;0.1239;-0.1412;-0.1215
;172.6319;0.3440;0.3616;0.2935;0.1030;-0.1537;-0.1209
;172.6389;0.3440;0.3326;0.2530;0.0815;-0.1661;-0.1204
;172.6458;0.3210;0.3014;0.2099;0.0594;-0.1783;-0.1199
;172.6528;0.2650;0.2678;0.1639;0.0368;-0.1904;-0.1195
;172.6597;0.2330;0.2186;0.1172;0.0136;-0.2023;-0.1190
;172.6667;0.1760;0.1708;0.0706;-0.0102;-0.2140;-0.1186
;172.6736;0.0980;0.1178;0.0248;-0.0346;-0.2255;-0.1182
;172.6806;0.0820;0.0548;-0.0202;-0.0595;-0.2368;-0.1178
;172.6875;0.0000;-0.0088;-0.0627;-0.0851;-0.2480;-0.1174
;172.6944;-0.0820;-0.0726;-0.1030;-0.1113;-0.2589;-0.1171
;172.7014;-0.1420;-0.1576;-0.1414;-0.1379;-0.2697;-0.1168
;172.7083;-0.2210;-0.2396;-0.1786;-0.1651;-0.2802;-0.1165
;172.7153;-0.3430;-0.3170;-0.2144;-0.1927;-0.2906;-0.1162
;172.7222;-0.4100;-0.3970;-0.2484;-0.2206;-0.3008;-0.1159
;172.7292;-0.4690;-0.4700;-0.2831;-0.2489;-0.3107;-0.1156
;172.7361;-0.5420;-0.5170;-0.3168;-0.2775;-0.3205;-0.1153
;172.7431;-0.5860;-0.5522;-0.3488;-0.3064;-0.3300;-0.1151
;172.7500;-0.5780;-0.5770;-0.3799;-0.3356;-0.3393;-0.1148
;172.7569;-0.5860;-0.5816;-0.4105;-0.3649;-0.3484;-0.1146
;172.7639;-0.5930;-0.5732;-0.4394;-0.3944;-0.3573;-0.1144
;172.7708;-0.5650;-0.5648;-0.4688;-0.4241;-0.3660;-0.1142
;172.7778;-0.5440;-0.5516;-0.4971;-0.4538;-0.3744;-0.1140
;172.7847;-0.5360;-0.5344;-0.5244;-0.4834;-0.3827;-0.1138
;172.7917;-0.5200;-0.5226;-0.5514;-0.5129;-0.3907;-0.1136
