UTC Time;Pegel Faverges 1
18.08.2020 13:00;0.083875
18.08.2020 12:50;0.090570
18.08.2020 12:40;0.094900
18.08.2020 12:30;0.092000
18.08.2020 12:20;0.089425
18.08.2020 12:10;0.087170
18.08.2020 12:00;0.092270
18.08.2020 11:50;0.094770
18.08.2020 11:40;0.095445
18.08.2020 11:30;0.091720
18.08.2020 11:20;0.094715
18.08.2020 11:10;0.096000
18.08.2020 11:00;0.096000
18.08.2020 10:50;0.095785
18.08.2020 10:40;0.095120
18.08.2020 10:30;0.092550
18.08.2020 10:20;0.095335
18.08.2020 10:10;0.095895
18.08.2020 10:00;0.095310
18.08.2020 09:50;0.085525
18.08.2020 09:40;0.063340
18.08.2020 09:30;0.056495
18.08.2020 09:20;0.057685
18.08.2020 09:10;0.061490
18.08.2020 09:00;0.063880
18.08.2020 08:50;0.064000
18.08.2020 08:40;0.065475
18.08.2020 08:30;0.076000
18.08.2020 08:20;0.072380
18.08.2020 08:10;0.070985
18.08.2020 08:00;0.071000
18.08.2020 07:50;0.071000
18.08.2020 07:40;0.071000
18.08.2020 07:30;0.070560
18.08.2020 07:20;0.057465
18.08.2020 07:10;0.035170
18.08.2020 07:00;0.031000
18.08.2020 06:50;0.031000
18.08.2020 06:40;0.031000
18.08.2020 06:30;0.031000
18.08.2020 06:20;0.031000
18.08.2020 06:10;0.031000
18.08.2020 06:00;0.031000
18.08.2020 05:50;0.026505
18.08.2020 05:40;0.014525
18.08.2020 05:30;0.010985
18.08.2020 05:20;0.008545
18.08.2020 05:10;0.003795
18.08.2020 05:00;-0.007390
18.08.2020 04:50;-0.009960
18.08.2020 04:40;-0.010000
18.08.2020 04:30;-0.010000
18.08.2020 04:20;-0.010000
18.08.2020 04:10;-0.010000
18.08.2020 04:00;-0.010000
18.08.2020 03:50;-0.009880
18.08.2020 03:40;-0.007900
18.08.2020 03:30;0.000815
18.08.2020 03:20;0.005495
18.08.2020 03:10;0.010225
18.08.2020 03:00;0.011335
18.08.2020 02:50;0.013495
18.08.2020 02:40;0.015150
18.08.2020 02:30;0.015540
18.08.2020 02:20;0.017755
18.08.2020 02:10;0.016955
18.08.2020 02:00;0.018250
18.08.2020 01:50;0.014870
18.08.2020 01:40;0.011600
18.08.2020 01:30;0.012050
18.08.2020 01:20;0.021505
18.08.2020 01:10;0.030860
18.08.2020 01:00;0.030900
18.08.2020 00:50;0.030980
18.08.2020 00:40;0.030980
18.08.2020 00:30;0.031000
18.08.2020 00:20;0.031000
18.08.2020 00:10;0.031000
18.08.2020 00:00;0.031000
17.08.2020 23:50;0.031000
17.08.2020 23:40;0.031000
17.08.2020 23:30;0.031000
17.08.2020 23:20;0.031000
17.08.2020 23:10;0.031000
17.08.2020 23:00;0.031000
17.08.2020 22:50;0.031000
17.08.2020 22:40;0.031000
17.08.2020 22:30;0.031000
17.08.2020 22:20;0.031000
17.08.2020 22:10;0.031000
17.08.2020 22:00;0.031000
17.08.2020 21:50;0.031000
17.08.2020 21:40;0.031000
17.08.2020 21:30;0.031000
17.08.2020 21:20;0.031000
17.08.2020 21:10;0.031000
17.08.2020 21:00;0.031000
17.08.2020 20:50;0.031000
17.08.2020 20:40;0.031000
17.08.2020 20:30;0.031000
17.08.2020 20:20;0.031000
17.08.2020 20:10;0.031000
17.08.2020 20:00;0.031000
17.08.2020 19:50;0.031000
17.08.2020 19:40;0.031000
17.08.2020 19:30;0.031000
17.08.2020 19:20;0.031000
17.08.2020 19:10;0.031000
17.08.2020 19:00;0.031000
17.08.2020 18:50;0.031000
17.08.2020 18:40;0.031000
17.08.2020 18:30;0.031000
17.08.2020 18:20;0.031000
17.08.2020 18:10;0.030720
17.08.2020 18:00;0.029870
17.08.2020 17:50;0.028180
17.08.2020 17:40;0.024735
17.08.2020 17:30;0.026265
17.08.2020 17:20;0.025830
17.08.2020 17:10;0.026400
17.08.2020 17:00;0.022485
17.08.2020 16:50;0.027835
17.08.2020 16:40;0.053945
17.08.2020 16:30;0.055985
17.08.2020 16:20;0.056000
17.08.2020 16:10;0.056000
17.08.2020 16:00;0.056000
17.08.2020 15:50;0.056000
17.08.2020 15:40;0.056000
17.08.2020 15:30;0.056000
17.08.2020 15:20;0.056105
17.08.2020 15:10;0.056205
17.08.2020 15:00;0.055500
17.08.2020 14:50;0.051380
17.08.2020 14:40;0.055690
17.08.2020 14:30;0.067895
17.08.2020 14:20;0.083995
17.08.2020 14:10;0.088880
17.08.2020 14:00;0.088900
17.08.2020 13:50;0.089000
17.08.2020 13:40;0.088985
17.08.2020 13:30;0.086790
17.08.2020 13:20;0.082625
17.08.2020 13:10;0.081020
17.08.2020 13:00;0.081115
17.08.2020 12:50;0.086925
17.08.2020 12:40;0.092295
17.08.2020 12:30;0.087685
17.08.2020 12:20;0.082385
17.08.2020 12:10;0.081300
17.08.2020 12:00;0.081020
17.08.2020 11:50;0.081470
17.08.2020 11:40;0.084925
17.08.2020 11:30;0.082380
17.08.2020 11:20;0.081200
17.08.2020 11:10;0.081140
17.08.2020 11:00;0.081100
17.08.2020 10:50;0.081360
17.08.2020 10:40;0.083860
17.08.2020 10:30;0.087630
17.08.2020 10:20;0.088665
17.08.2020 10:10;0.088940
17.08.2020 10:00;0.089025
17.08.2020 09:50;0.089320
17.08.2020 09:40;0.090145
17.08.2020 09:30;0.088595
17.08.2020 09:20;0.084855
17.08.2020 09:10;0.088560
17.08.2020 09:00;0.088780
17.08.2020 08:50;0.079740
17.08.2020 08:40;0.067000
17.08.2020 08:30;0.059800
17.08.2020 08:20;0.056310
17.08.2020 08:10;0.055395
17.08.2020 08:00;0.035230
17.08.2020 07:50;0.024330
17.08.2020 07:40;0.021115
17.08.2020 07:30;0.027320
17.08.2020 07:20;0.023575
17.08.2020 07:10;0.027450
17.08.2020 07:00;0.030765
17.08.2020 06:50;0.031000
17.08.2020 06:40;0.031000
17.08.2020 06:30;0.031000
17.08.2020 06:20;0.029970
17.08.2020 06:10;0.023200
17.08.2020 06:00;0.015505
17.08.2020 05:50;0.011510
17.08.2020 05:40;0.006830
17.08.2020 05:30;-0.007310
17.08.2020 05:20;-0.009710
17.08.2020 05:10;-0.010000
17.08.2020 05:00;-0.010000
17.08.2020 04:50;-0.009960
17.08.2020 04:40;-0.008135
17.08.2020 04:30;-0.007370
17.08.2020 04:20;-0.008530
17.08.2020 04:10;-0.009780
17.08.2020 04:00;-0.005890
17.08.2020 03:50;-0.007575
17.08.2020 03:40;-0.009430
17.08.2020 03:30;-0.009900
17.08.2020 03:20;-0.009640
17.08.2020 03:10;-0.009275
17.08.2020 03:00;-0.009840
17.08.2020 02:50;-0.009980
17.08.2020 02:40;-0.009900
17.08.2020 02:30;-0.010000
17.08.2020 02:20;-0.008240
17.08.2020 02:10;-0.005080
17.08.2020 02:00;-0.003575
17.08.2020 01:50;-0.003200
17.08.2020 01:40;-0.007865
17.08.2020 01:30;-0.007690
17.08.2020 01:20;-0.000485
17.08.2020 01:10;0.001730
17.08.2020 01:00;0.010550
17.08.2020 00:50;0.011020
17.08.2020 00:40;0.015100
17.08.2020 00:30;0.022860
17.08.2020 00:20;0.020680
17.08.2020 00:10;0.014240
17.08.2020 00:00;0.020605
16.08.2020 23:50;0.025095
16.08.2020 23:40;0.029870
16.08.2020 23:30;0.030355
16.08.2020 23:20;0.029990
16.08.2020 23:10;0.029520
16.08.2020 23:00;0.030260
16.08.2020 22:50;0.029685
16.08.2020 22:40;0.027705
16.08.2020 22:30;0.019615
16.08.2020 22:20;0.028550
16.08.2020 22:10;0.027700
16.08.2020 22:00;0.026355
16.08.2020 21:50;0.023365
16.08.2020 21:40;0.019970
16.08.2020 21:30;0.022630
16.08.2020 21:20;0.018225
16.08.2020 21:10;0.016000
16.08.2020 21:00;0.016000
16.08.2020 20:50;0.016000
16.08.2020 20:40;0.022805
16.08.2020 20:30;0.055085
16.08.2020 20:20;0.054825
16.08.2020 20:10;0.053565
16.08.2020 20:00;0.052975
16.08.2020 19:50;0.040550
16.08.2020 19:40;0.028880
16.08.2020 19:30;0.024525
16.08.2020 19:20;0.016830
16.08.2020 19:10;0.016090
16.08.2020 19:00;0.016030
16.08.2020 18:50;0.015555
16.08.2020 18:40;0.012090
16.08.2020 18:30;0.035185
16.08.2020 18:20;0.048555
16.08.2020 18:10;0.048935
16.08.2020 18:00;0.046960
16.08.2020 17:50;0.042450
16.08.2020 17:40;0.045275
16.08.2020 17:30;0.056400
16.08.2020 17:20;0.061460
16.08.2020 17:10;0.077005
16.08.2020 17:00;0.081000
16.08.2020 16:50;0.080910
16.08.2020 16:40;0.081000
16.08.2020 16:30;0.081000
16.08.2020 16:20;0.081000
16.08.2020 16:10;0.081040
16.08.2020 16:00;0.085065
16.08.2020 15:50;0.101000
16.08.2020 15:40;0.108210
16.08.2020 15:30;0.112060
16.08.2020 15:20;0.115375
16.08.2020 15:10;0.114935
16.08.2020 15:00;0.114105
16.08.2020 14:50;0.113985
16.08.2020 14:40;0.114000
16.08.2020 14:30;0.114015
16.08.2020 14:20;0.114045
16.08.2020 14:10;0.114030
16.08.2020 14:00;0.114030
16.08.2020 13:50;0.112955
16.08.2020 13:40;0.112320
16.08.2020 13:30;0.121785
16.08.2020 13:20;0.122115
16.08.2020 13:10;0.123860
16.08.2020 13:00;0.125095
16.08.2020 12:50;0.116415
16.08.2020 12:40;0.114150
16.08.2020 12:30;0.114135
