;DOY;DATE;Q_glacier(m3/s);Q_lake(m3/s);Q_lake_offgl(m3/s);cumQ_lake(m3);cumQ_lake_offgl(m3);Vlake_meas(m3)
;25;2019,0685;0,0000;0,0000;0,0000;0;0;944412
;26;2019,0713;0,0000;0,0000;0,0000;0;0;944412
;27;2019,0740;0,0000;0,0000;0,0000;0;0;944412
;28;2019,0767;0,0000;0,0000;0,0000;0;0;944412
;29;2019,0795;0,0000;0,0000;0,0000;0;0;944412
;30;2019,0822;0,0000;0,0000;0,0000;0;0;944412
;31;2019,0850;0,0000;0,0000;0,0000;0;0;944412
;32;2019,0876;0,0000;0,0000;0,0000;0;0;944412
;33;2019,0905;0,0000;0,0000;0,0000;0;0;944412
;34;2019,0931;0,0000;0,0000;0,0000;0;0;944412
;35;2019,0959;0,0000;0,0000;0,0000;0;0;944412
;36;2019,0986;0,0000;0,0000;0,0000;0;0;944412
;37;2019,1013;0,0000;0,0000;0,0000;0;0;944412
;38;2019,1041;0,0000;0,0000;0,0000;0;0;944412
;39;2019,1068;0,0000;0,0000;0,0000;0;0;944412
;40;2019,1096;0,0000;0,0000;0,0000;0;0;944412
;41;2019,1123;0,0000;0,0000;0,0000;0;0;944412
;42;2019,1151;0,0000;0,0000;0,0000;0;0;944412
;43;2019,1178;0,0000;0,0000;0,0000;0;0;944412
;44;2019,1206;0,0000;0,0000;0,0000;0;0;944412
;45;2019,1233;0,0000;0,0000;0,0000;0;0;944412
;46;2019,1260;0,0000;0,0000;0,0000;0;0;944412
;47;2019,1288;0,0000;0,0000;0,0000;0;0;944412
;48;2019,1315;0,0000;0,0000;0,0000;0;0;944412
;49;2019,1343;0,0000;0,0000;0,0000;0;0;944412
;50;2019,1370;0,0000;0,0000;0,0000;0;0;944412
;51;2019,1398;0,0000;0,0000;0,0000;0;0;944412
;52;2019,1425;0,0000;0,0000;0,0000;0;0;944412
;53;2019,1453;0,0000;0,0000;0,0000;0;0;944412
;54;2019,1479;0,0000;0,0000;0,0000;0;0;944412
;55;2019,1506;0,0000;0,0000;0,0000;0;0;944412
;56;2019,1534;0,0000;0,0000;0,0000;0;0;944412
;57;2019,1561;0,0009;0,0000;0,0000;0;0;944412
;58;2019,1589;0,0056;0,0000;0,0000;0;0;944412
;59;2019,1616;0,0024;0,0000;0,0000;0;0;944412
;60;2019,1644;0,0000;0,0000;0,0000;0;0;944412
;61;2019,1671;0,0000;0,0000;0,0000;0;0;944412
;62;2019,1699;0,0000;0,0000;0,0000;0;0;944412
;63;2019,1726;0,0000;0,0000;0,0000;0;0;944412
;64;2019,1753;0,0000;0,0000;0,0000;0;0;944412
;65;2019,1781;0,0000;0,0000;0,0000;0;0;944412
;66;2019,1808;0,0000;0,0000;0,0000;0;0;944412
;67;2019,1836;0,0000;0,0000;0,0000;0;0;944412
;68;2019,1863;0,0000;0,0000;0,0000;0;0;944412
;69;2019,1891;0,0000;0,0000;0,0000;0;0;944412
;70;2019,1918;0,0000;0,0000;0,0000;0;0;944412
;71;2019,1946;0,0000;0,0000;0,0000;0;0;944412
;72;2019,1973;0,0000;0,0000;0,0000;0;0;944412
;73;2019,2000;0,0000;0,0000;0,0000;0;0;944412
;74;2019,2028;0,0000;0,0000;0,0000;0;0;944412
;75;2019,2054;0,0000;0,0000;0,0000;0;0;944412
;76;2019,2083;0,0000;0,0000;0,0000;0;0;944412
;77;2019,2109;0,0000;0,0000;0,0000;0;0;944412
;78;2019,2137;0,0000;0,0000;0,0000;0;0;944412
;79;2019,2164;0,0000;0,0000;0,0000;0;0;944412
;80;2019,2192;0,0000;0,0000;0,0000;0;0;944412
;81;2019,2219;0,0000;0,0000;0,0000;0;0;944412
;82;2019,2246;0,0003;0,0000;0,0000;0;0;944412
;83;2019,2274;0,0216;0,0000;0,0000;0;0;944412
;84;2019,2301;0,0000;0,0000;0,0000;0;0;944412
;85;2019,2329;0,0000;0,0000;0,0000;0;0;944412
;86;2019,2356;0,0000;0,0000;0,0000;0;0;944412
;87;2019,2384;0,0000;0,0000;0,0000;0;0;944412
;88;2019,2411;0,0000;0,0000;0,0000;0;0;944412
;89;2019,2439;0,0000;0,0000;0,0000;0;0;944412
;90;2019,2466;0,0002;0,0000;0,0000;0;0;944412
;91;2019,2493;0,0031;0,0000;0,0000;0;0;944412
;92;2019,2521;0,0000;0,0000;0,0000;0;0;944412
;93;2019,2548;0,0000;0,0000;0,0000;0;0;944412
;94;2019,2576;0,0000;0,0000;0,0000;0;0;944412
;95;2019,2603;0,0000;0,0000;0,0000;0;0;944412
;96;2019,2631;0,0000;0,0000;0,0000;0;0;944412
;97;2019,2657;0,0000;0,0000;0,0000;0;0;944412
;98;2019,2684;0,0000;0,0000;0,0000;0;0;944412
;99;2019,2712;0,0000;0,0000;0,0000;0;0;944412
;100;2019,2739;0,0000;0,0000;0,0000;0;0;944412
;101;2019,2767;0,0000;0,0000;0,0000;0;0;944412
;102;2019,2794;0,0000;0,0000;0,0000;0;0;944412
;103;2019,2822;0,0000;0,0000;0,0000;0;0;944412
;104;2019,2849;0,0000;0,0000;0,0000;0;0;944412
;105;2019,2877;0,0000;0,0000;0,0000;0;0;944412
;106;2019,2904;0,0000;0,0000;0,0000;0;0;944412
;107;2019,2931;0,0730;0,0019;0,0004;164;37;944412
;108;2019,2959;0,3720;0,0549;0,0148;4904;1318;944412
;109;2019,2986;0,3494;0,0501;0,0132;9235;2458;944412
;110;2019,3014;0,5310;0,0879;0,0270;16827;4790;944412
;111;2019,3041;0,7925;0,1465;0,0512;29484;9210;944412
;112;2019,3069;0,7202;0,1297;0,0441;40691;13017;944412
;113;2019,3096;0,2551;0,0312;0,0071;43387;13633;944412
;114;2019,3124;0,0298;0,0000;0,0000;43387;13633;944412
;115;2019,3151;0,0778;0,0005;0,0002;43429;13646;944412
;116;2019,3177;0,0000;0,0000;0,0000;43429;13646;944412
;117;2019,3206;0,0000;0,0000;0,0000;43429;13646;944412
;118;2019,3232;0,0000;0,0000;0,0000;43429;13646;944412
;119;2019,3260;0,0000;0,0000;0,0000;43429;13646;944412
;120;2019,3287;0,0000;0,0000;0,0000;43429;13646;944412
;121;2019,3315;0,0043;0,0000;0,0000;43429;13646;944412
;122;2019,3342;0,0000;0,0000;0,0000;43429;13646;944412
;123;2019,3370;0,0000;0,0000;0,0000;43429;13646;944412
;124;2019,3397;0,0000;0,0000;0,0000;43429;13646;944412
;125;2019,3424;0,0000;0,0000;0,0000;43429;13646;944412
;126;2019,3452;0,0000;0,0000;0,0000;43429;13646;944412
;127;2019,3479;0,0000;0,0000;0,0000;43429;13646;944412
;128;2019,3507;0,0000;0,0000;0,0000;43429;13646;944412
;129;2019,3534;0,0000;0,0000;0,0000;43429;13646;944412
;130;2019,3562;0,0034;0,0000;0,0000;43429;13646;944412
;131;2019,3589;0,0000;0,0000;0,0000;43429;13646;944412
;132;2019,3617;0,0000;0,0000;0,0000;43429;13646;944412
;133;2019,3644;0,0000;0,0000;0,0000;43429;13646;944412
;134;2019,3671;0,0000;0,0000;0,0000;43429;13646;944412
;135;2019,3699;0,0000;0,0000;0,0000;43429;13646;944412
;136;2019,3726;0,0000;0,0000;0,0000;43429;13646;944412
;137;2019,3754;0,0112;0,0000;0,0000;43429;13646;944412
;138;2019,3781;0,0001;0,0000;0,0000;43429;13646;944412
;139;2019,3809;0,0000;0,0000;0,0000;43429;13646;944412
;140;2019,3835;0,0000;0,0000;0,0000;43429;13646;944412
;141;2019,3864;0,0012;0,0000;0,0000;43429;13646;944412
;142;2019,3890;0,2077;0,0200;0,0040;45157;13992;944412
;143;2019,3917;0,7522;0,1303;0,0435;56414;17755;944412
;144;2019,3945;1,1185;0,2126;0,0783;74779;24520;944412
;145;2019,3972;0,5965;0,0900;0,0263;82558;26792;944412
;146;2019,4000;0,1200;0,0058;0,0012;83061;26892;944412
;147;2019,4027;1,1418;0,1902;0,0618;99494;32229;944412
;148;2019,4055;0,0000;0,0000;0,0000;99494;32229;944412
;149;2019,4082;0,0000;0,0000;0,0000;99494;32229;944412
;150;2019,4110;0,0681;0,0007;0,0002;99551;32247;944412
;151;2019,4137;1,1386;0,2161;0,0797;118222;39135;944412
;152;2019,4164;1,9860;0,4064;0,1603;153335;52983;944412
;153;2019,4192;2,5481;0,5325;0,2137;199345;71446;944412
;154;2019,4219;2,4907;0,5195;0,2082;244229;89432;944412
