Date_Time;Lake Elevation
2019-06-21T16:40:00.0;2726
2019-06-21T16:50:00.0;2726
2019-06-21T17:00:00.0;2726.01
2019-06-21T17:10:00.0;2726.01
2019-06-21T17:20:00.0;2726.01
2019-06-21T17:30:00.0;2726.02
2019-06-21T17:40:00.0;2726.02
2019-06-21T17:50:00.0;2726.03
2019-06-21T18:00:00.0;2726.03
2019-06-21T18:10:00.0;2726.04
2019-06-21T18:20:00.0;2726.04
2019-06-21T18:30:00.0;2726.05
2019-06-21T18:40:00.0;2726.05
2019-06-21T18:50:00.0;2726.05
2019-06-21T19:00:00.0;2726.06
2019-06-21T19:10:00.0;2726.06
2019-06-21T19:20:00.0;2726.06
2019-06-21T19:30:00.0;2726.06
2019-06-21T19:40:00.0;2726.07
2019-06-21T19:50:00.0;2726.07
2019-06-21T20:00:00.0;2726.07
2019-06-21T20:10:00.0;2726.08
2019-06-21T20:20:00.0;2726.08
2019-06-21T20:30:00.0;2726.09
2019-06-21T20:40:00.0;2726.09
2019-06-21T20:50:00.0;2726.1
2019-06-21T21:00:00.0;2726.1
2019-06-21T21:10:00.0;2726.11
2019-06-21T21:20:00.0;2726.11
2019-06-21T21:30:00.0;2726.12
2019-06-21T21:40:00.0;2726.13
2019-06-21T21:50:00.0;2726.13
2019-06-21T22:00:00.0;2726.14
2019-06-21T22:10:00.0;2726.15
2019-06-21T22:20:00.0;2726.16
2019-06-21T22:30:00.0;2726.17
2019-06-21T22:40:00.0;2726.18
2019-06-21T22:50:00.0;2726.18
2019-06-21T23:00:00.0;2726.19
2019-06-21T23:10:00.0;2726.2
2019-06-21T23:20:00.0;2726.21
2019-06-21T23:30:00.0;2726.22
2019-06-21T23:40:00.0;2726.23
2019-06-21T23:50:00.0;2726.25
2019-06-22T00:00:00.0;2726.26
2019-06-22T00:10:00.0;2726.27
2019-06-22T00:20:00.0;2726.28
2019-06-22T00:30:00.0;2726.29
2019-06-22T00:40:00.0;2726.3
2019-06-22T00:50:00.0;2726.31
2019-06-22T01:00:00.0;2726.32
2019-06-22T01:10:00.0;2726.33
2019-06-22T01:20:00.0;2726.35
2019-06-22T01:30:00.0;2726.36
2019-06-22T01:40:00.0;2726.37
2019-06-22T01:50:00.0;2726.38
2019-06-22T02:00:00.0;2726.39
2019-06-22T02:10:00.0;2726.4
2019-06-22T02:20:00.0;2726.41
2019-06-22T02:30:00.0;2726.42
2019-06-22T02:40:00.0;2726.43
2019-06-22T02:50:00.0;2726.44
2019-06-22T03:00:00.0;2726.45
2019-06-22T03:10:00.0;2726.46
2019-06-22T03:20:00.0;2726.47
2019-06-22T03:30:00.0;2726.48
2019-06-22T03:40:00.0;2726.49
2019-06-22T03:50:00.0;2726.5
2019-06-22T04:00:00.0;2726.5
2019-06-22T04:10:00.0;2726.51
2019-06-22T04:20:00.0;2726.52
2019-06-22T04:30:00.0;2726.52
2019-06-22T04:40:00.0;2726.53
2019-06-22T04:50:00.0;2726.54
2019-06-22T05:00:00.0;2726.55
2019-06-22T05:10:00.0;2726.55
2019-06-22T05:20:00.0;2726.56
2019-06-22T05:30:00.0;2726.56
2019-06-22T05:40:00.0;2726.57
2019-06-22T05:50:00.0;2726.57
2019-06-22T06:00:00.0;2726.58
2019-06-22T06:10:00.0;2726.59
2019-06-22T06:20:00.0;2726.59
2019-06-22T06:30:00.0;2726.6
2019-06-22T06:40:00.0;2726.6
2019-06-22T06:50:00.0;2726.61
2019-06-22T07:00:00.0;2726.61
2019-06-22T07:10:00.0;2726.61
2019-06-22T07:20:00.0;2726.62
2019-06-22T07:30:00.0;2726.62
2019-06-22T07:40:00.0;2726.62
2019-06-22T07:50:00.0;2726.63
2019-06-22T08:00:00.0;2726.63
2019-06-22T08:10:00.0;2726.63
2019-06-22T08:20:00.0;2726.63
2019-06-22T08:30:00.0;2726.64
2019-06-22T08:40:00.0;2726.64
2019-06-22T08:50:00.0;2726.64
2019-06-22T09:00:00.0;2726.64
2019-06-22T09:10:00.0;2726.64
2019-06-22T09:20:00.0;2726.64
2019-06-22T09:30:00.0;2726.64
2019-06-22T09:40:00.0;2726.64
2019-06-22T09:50:00.0;2726.64
2019-06-22T10:00:00.0;2726.64
2019-06-22T10:10:00.0;2726.64
2019-06-22T10:20:00.0;2726.64
2019-06-22T10:30:00.0;2726.64
2019-06-22T10:40:00.0;2726.64
2019-06-22T10:50:00.0;2726.64
2019-06-22T11:00:00.0;2726.64
2019-06-22T11:10:00.0;2726.64
2019-06-22T11:20:00.0;2726.64
2019-06-22T11:30:00.0;2726.64
2019-06-22T11:40:00.0;2726.64
2019-06-22T11:50:00.0;2726.64
2019-06-22T12:00:00.0;2726.64
2019-06-22T12:10:00.0;2726.64
2019-06-22T12:20:00.0;2726.64
2019-06-22T12:30:00.0;2726.64
2019-06-22T12:40:00.0;2726.64
2019-06-22T12:50:00.0;2726.64
2019-06-22T13:00:00.0;2726.64
2019-06-22T13:10:00.0;2726.64
2019-06-22T13:20:00.0;2726.64
2019-06-22T13:30:00.0;2726.64
2019-06-22T13:40:00.0;2726.64
2019-06-22T13:50:00.0;2726.64
2019-06-22T14:00:00.0;2726.63
2019-06-22T14:10:00.0;2726.63
2019-06-22T14:20:00.0;2726.63
2019-06-22T14:30:00.0;2726.63
2019-06-22T14:40:00.0;2726.63
2019-06-22T14:50:00.0;2726.63
2019-06-22T15:00:00.0;2726.63
