Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1974-01-01 - 2026-05-16
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-28 00:00:00;1974-04-28 18:46:00;0.445;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-29 00:00:00;1974-04-29 22:12:00;0.696;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-30 00:00:00;1974-04-30 00:00:00;0.683;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-01 00:00:00;1974-05-01 00:31:40;0.630;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-02 00:00:00;1974-05-02 00:00:00;0.556;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-03 00:00:00;1974-05-03 20:49:55;0.684;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-04 00:00:00;1974-05-04 16:06:10;0.708;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-05 00:00:00;1974-05-05 00:00:00;0.682;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-06 00:00:00;1974-05-07 00:00:00;0.680;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-07 00:00:00;1974-05-07 02:05:15;0.690;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-08 00:00:00;1974-05-08 00:00:00;0.578;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-09 00:00:00;1974-05-09 20:25:25;0.742;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-10 00:00:00;1974-05-11 00:00:00;0.816;Freigegeben, validierte Daten
